video_id,title,publishedAt,channelId,channelTitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
l6yzZdHruUI,IONIQ x BTS - IONIQ: I'm on it Official M/V,2020-09-02 02:00:05+00:00,UC5f97D60yHa7UE9rFfbej8g,HyundaiWorldwide,Autos & Vehicles,2020-09-02 00:00:00+00:00,#IONIQ|#IONIQxBTS|#BTSxIONIQ|#Hyundai|#MusicVideo|#Official|#BTSxHyundai|#HyundaixBTS|#HyundaiPresents|#Ioniqelectric|#HyundaiIONIQ|#Hybrid|#PlugIn|#HyundaiElectric|#Electric|#mobility|#new|#lifestyle|#Premium|#Electricvehicle|#CleanMobility|#JungKook|#Jin|#j-hope|#jhope|#RM|#SUGA|#Jimin|#V|#BTSMusicVideo|#BTSFilm|#BTS|#방탄소년단|#MV|#BTSCommercials|#BigHit|#information|#film|#Future|#Review|#subscribe|#BTSAD|#BTSpurplecar|#bangtanboys|#bangtan|#bts_twt|#kpop|#btsarmy|#btsofficial|#btsfunny|#car,3299391,808755,3274,30788,https://i.ytimg.com/vi/l6yzZdHruUI/default.jpg,False,False,"The wait is over… you can now watch the hotly anticipated #MusicVideo for ‘IONIQ: I’m on it’!🎵I’m on it. Chasing my chance #IONIQ takes me there.📼This video gives you an exclusive look at the different lifestyles of each of the BTS members, empowered by IONIQ.The HyundaiIONIQ inspires you to live life your own way, in an eco-friendly way.Watch now and let us know which member has your favourite lifestyle.✅Download music: https://www.hyundai.com/worldwide/en/brand/hyundai-bts-ioniq#IONIQxBTS"
l6yzZdHruUI,IONIQ x BTS - IONIQ: I'm on it Official M/V,2020-09-02 02:00:05+00:00,UC5f97D60yHa7UE9rFfbej8g,HyundaiWorldwide,Autos & Vehicles,2020-09-03 00:00:00+00:00,#IONIQ|#IONIQxBTS|#BTSxIONIQ|#Hyundai|#MusicVideo|#Official|#BTSxHyundai|#HyundaixBTS|#HyundaiPresents|#Ioniqelectric|#HyundaiIONIQ|#Hybrid|#PlugIn|#HyundaiElectric|#Electric|#mobility|#new|#lifestyle|#Premium|#Electricvehicle|#CleanMobility|#JungKook|#Jin|#j-hope|#jhope|#RM|#SUGA|#Jimin|#V|#BTSMusicVideo|#BTSFilm|#BTS|#방탄소년단|#MV|#BTSCommercials|#BigHit|#information|#film|#Future|#Review|#subscribe|#BTSAD|#BTSpurplecar|#bangtanboys|#bangtan|#bts_twt|#kpop|#btsarmy|#btsofficial|#btsfunny|#car,5555906,980354,4765,36794,https://i.ytimg.com/vi/l6yzZdHruUI/default.jpg,False,False,"The wait is over… you can now watch the hotly anticipated #MusicVideo for ‘IONIQ: I’m on it’!🎵I’m on it. Chasing my chance #IONIQ takes me there.📼This video gives you an exclusive look at the different lifestyles of each of the BTS members, empowered by IONIQ, a new EV lineup brand of Hyundai.The Hyundai IONIQ inspires you to live life your own way, in an eco-friendly way.Watch now and let us know which member has your favourite lifestyle.✅Download music: https://www.hyundai.com/worldwide/en/brand/hyundai-bts-ioniq#IONIQxBTS"
l6yzZdHruUI,IONIQ x BTS - IONIQ: I'm on it Official M/V,2020-09-02 02:00:05+00:00,UC5f97D60yHa7UE9rFfbej8g,HyundaiWorldwide,Autos & Vehicles,2020-09-04 00:00:00+00:00,#IONIQ|#IONIQxBTS|#BTSxIONIQ|#Hyundai|#MusicVideo|#Official|#BTSxHyundai|#HyundaixBTS|#HyundaiPresents|#Ioniqelectric|#HyundaiIONIQ|#Hybrid|#PlugIn|#HyundaiElectric|#Electric|#mobility|#new|#lifestyle|#Premium|#Electricvehicle|#CleanMobility|#JungKook|#Jin|#j-hope|#jhope|#RM|#SUGA|#Jimin|#V|#BTSMusicVideo|#BTSFilm|#BTS|#방탄소년단|#MV|#BTSCommercials|#BigHit|#information|#film|#Future|#Review|#subscribe|#BTSAD|#BTSpurplecar|#bangtanboys|#bangtan|#bts_twt|#kpop|#btsarmy|#btsofficial|#btsfunny|#car,7611025,1126427,5573,39955,https://i.ytimg.com/vi/l6yzZdHruUI/default.jpg,False,False,"The wait is over… you can now watch the hotly anticipated #MusicVideo for ‘IONIQ: I’m on it’!🎵I’m on it. Chasing my chance #IONIQ takes me there.📼This video gives you an exclusive look at the different lifestyles of each of the BTS members, empowered by IONIQ, a new EV lineup brand of Hyundai.The Hyundai IONIQ inspires you to live life your own way, in an eco-friendly way.Watch now and let us know which member has your favourite lifestyle.✅Download music: https://www.hyundai.com/worldwide/en/brand/hyundai-bts-ioniq#IONIQxBTS"
l6yzZdHruUI,IONIQ x BTS - IONIQ: I'm on it Official M/V,2020-09-02 02:00:05+00:00,UC5f97D60yHa7UE9rFfbej8g,HyundaiWorldwide,Autos & Vehicles,2020-09-05 00:00:00+00:00,#IONIQ|#IONIQxBTS|#BTSxIONIQ|#Hyundai|#MusicVideo|#Official|#BTSxHyundai|#HyundaixBTS|#HyundaiPresents|#Ioniqelectric|#HyundaiIONIQ|#Hybrid|#PlugIn|#HyundaiElectric|#Electric|#mobility|#new|#lifestyle|#Premium|#Electricvehicle|#CleanMobility|#JungKook|#Jin|#j-hope|#jhope|#RM|#SUGA|#Jimin|#V|#BTSMusicVideo|#BTSFilm|#BTS|#방탄소년단|#MV|#BTSCommercials|#BigHit|#information|#film|#Future|#Review|#subscribe|#BTSAD|#BTSpurplecar|#bangtanboys|#bangtan|#bts_twt|#kpop|#btsarmy|#btsofficial|#btsfunny|#car,9528290,1257561,5999,42475,https://i.ytimg.com/vi/l6yzZdHruUI/default.jpg,False,False,"The wait is over… you can now watch the hotly anticipated #MusicVideo for ‘IONIQ: I’m on it’!🎵I’m on it. Chasing my chance #IONIQ takes me there.📼This video gives you an exclusive look at the different lifestyles of each of the BTS members, empowered by IONIQ, a new EV lineup brand of Hyundai.The Hyundai IONIQ inspires you to live life your own way, in an eco-friendly way.Watch now and let us know which member has your favourite lifestyle.✅Download music: https://www.hyundai.com/worldwide/en/brand/hyundai-bts-ioniq#IONIQxBTS"
l6yzZdHruUI,IONIQ x BTS - IONIQ: I'm on it Official M/V,2020-09-02 02:00:05+00:00,UC5f97D60yHa7UE9rFfbej8g,HyundaiWorldwide,Autos & Vehicles,2020-09-06 00:00:00+00:00,#IONIQ|#IONIQxBTS|#BTSxIONIQ|#Hyundai|#MusicVideo|#Official|#BTSxHyundai|#HyundaixBTS|#HyundaiPresents|#Ioniqelectric|#HyundaiIONIQ|#Hybrid|#PlugIn|#HyundaiElectric|#Electric|#mobility|#new|#lifestyle|#Premium|#Electricvehicle|#CleanMobility|#JungKook|#Jin|#j-hope|#jhope|#RM|#SUGA|#Jimin|#V|#BTSMusicVideo|#BTSFilm|#BTS|#방탄소년단|#MV|#BTSCommercials|#BigHit|#information|#film|#Future|#Review|#subscribe|#BTSAD|#BTSpurplecar|#bangtanboys|#bangtan|#bts_twt|#kpop|#btsarmy|#btsofficial|#btsfunny|#car,11184945,1323003,6225,43769,https://i.ytimg.com/vi/l6yzZdHruUI/default.jpg,False,False,"The wait is over… you can now watch the hotly anticipated #MusicVideo for ‘IONIQ: I’m on it’!🎵I’m on it. Chasing my chance #IONIQ takes me there.📼This video gives you an exclusive look at the different lifestyles of each of the BTS members, empowered by IONIQ, a new EV lineup brand of Hyundai.The Hyundai IONIQ inspires you to live life your own way, in an eco-friendly way.Watch now and let us know which member has your favourite lifestyle.✅Download music: https://www.hyundai.com/worldwide/en/brand/hyundai-bts-ioniq#IONIQxBTS"
l6yzZdHruUI,IONIQ x BTS - IONIQ: I'm on it Official M/V,2020-09-02 02:00:05+00:00,UC5f97D60yHa7UE9rFfbej8g,HyundaiWorldwide,Autos & Vehicles,2020-09-07 00:00:00+00:00,#IONIQ|#IONIQxBTS|#BTSxIONIQ|#Hyundai|#MusicVideo|#Official|#BTSxHyundai|#HyundaixBTS|#HyundaiPresents|#Ioniqelectric|#HyundaiIONIQ|#Hybrid|#PlugIn|#HyundaiElectric|#Electric|#mobility|#new|#lifestyle|#Premium|#Electricvehicle|#CleanMobility|#JungKook|#Jin|#j-hope|#jhope|#RM|#SUGA|#Jimin|#V|#BTSMusicVideo|#BTSFilm|#BTS|#방탄소년단|#MV|#BTSCommercials|#BigHit|#information|#film|#Future|#Review|#subscribe|#BTSAD|#BTSpurplecar|#bangtanboys|#bangtan|#bts_twt|#kpop|#btsarmy|#btsofficial|#btsfunny|#car,12590820,1354087,6335,44489,https://i.ytimg.com/vi/l6yzZdHruUI/default.jpg,False,False,"The wait is over… you can now watch the hotly anticipated #MusicVideo for ‘IONIQ: I’m on it’!🎵I’m on it. Chasing my chance #IONIQ takes me there.📼This video gives you an exclusive look at the different lifestyles of each of the BTS members, empowered by IONIQ, a new EV lineup brand of Hyundai.The Hyundai IONIQ inspires you to live life your own way, in an eco-friendly way.Watch now and let us know which member has your favourite lifestyle.✅Download music: https://www.hyundai.com/worldwide/en/brand/hyundai-bts-ioniq#IONIQxBTS"
l6yzZdHruUI,IONIQ x BTS - IONIQ: I'm on it Official M/V,2020-09-02 02:00:05+00:00,UC5f97D60yHa7UE9rFfbej8g,HyundaiWorldwide,Autos & Vehicles,2020-09-08 00:00:00+00:00,#IONIQ|#IONIQxBTS|#BTSxIONIQ|#Hyundai|#MusicVideo|#Official|#BTSxHyundai|#HyundaixBTS|#HyundaiPresents|#Ioniqelectric|#HyundaiIONIQ|#Hybrid|#PlugIn|#HyundaiElectric|#Electric|#mobility|#new|#lifestyle|#Premium|#Electricvehicle|#CleanMobility|#JungKook|#Jin|#j-hope|#jhope|#RM|#SUGA|#Jimin|#V|#BTSMusicVideo|#BTSFilm|#BTS|#방탄소년단|#MV|#BTSCommercials|#BigHit|#information|#film|#Future|#Review|#subscribe|#BTSAD|#BTSpurplecar|#bangtanboys|#bangtan|#bts_twt|#kpop|#btsarmy|#btsofficial|#btsfunny|#car,13879501,1368178,6414,44974,https://i.ytimg.com/vi/l6yzZdHruUI/default.jpg,False,False,"The wait is over… you can now watch the hotly anticipated #MusicVideo for ‘IONIQ: I’m on it’!🎵I’m on it. Chasing my chance #IONIQ takes me there.📼This video gives you an exclusive look at the different lifestyles of each of the BTS members, empowered by IONIQ, a new EV lineup brand of Hyundai.The Hyundai IONIQ inspires you to live life your own way, in an eco-friendly way.Watch now and let us know which member has your favourite lifestyle.✅Download music: https://www.hyundai.com/worldwide/en/brand/hyundai-bts-ioniq#IONIQxBTS"
yHM2JuYjDN0,Mortal Glitch | Ep 1: Solo el héroe puede vencer a la bestia,2020-09-02 21:00:10+00:00,UCoGDh1Xa3kUCpok24JN5DKA,enchufetv,Comedy,2020-09-03 00:00:00+00:00,Mortal Glitch|EnchufeTV|Enchufe.tv|Serie|Serie Enchufe|episodio 1|Capítulo 1|Videojuegos|Juego Clásico|NPC|Non Playable Character|No soples el cartucho|Solo el héroe|Vencer a la bestia|El elegido|Espada del rey|Espada del héroe|Salvar a Ciro|El glitch|Chanchopollo|Nuevo juego|La reliquia|Reliquia del rey|Nadie revive|Heroes Legend|Solo el jugador,1002980,72796,1987,4598,https://i.ytimg.com/vi/yHM2JuYjDN0/default.jpg,False,False,"Mortal Glitch cuenta la historia de una chica que siente que su destino es mucho más de lo que tiene ahora, pero que tiene que luchar contra el status quo con el fin de salvar el mundo. A través de un humor característico, y un relato sorprendente, los creadores de EnchufeTV, toman el viaje del héroe y le dan un toque cómico único.Ningún héroe tuvo una aventura tan grande como la de esta Chanchopollera #EnchufeTV #MortalGlitch #TúPuedesSerElHéroePuedes elegir cómo ver esta nueva serie — puedes ver todos los episodios sin interrupciones y en el momento que tu quieras con YouTube Premium, o puedes ver un episodio a la semana de forma gratuita y con anuncios.Episodio 2: 9 de septiembreEpisodio 3: 16 de septiembreEpisodio 4: 23 de septiembreEpisodio 5: 30 de septiembreConoce más aquí: https://support.google.com/youtube/answer/6358146?hl=es-419"
yHM2JuYjDN0,Mortal Glitch | Ep 1: Solo el héroe puede vencer a la bestia,2020-09-02 21:00:10+00:00,UCoGDh1Xa3kUCpok24JN5DKA,enchufetv,Comedy,2020-09-04 00:00:00+00:00,Mortal Glitch|EnchufeTV|Enchufe.tv|Serie|Serie Enchufe|episodio 1|Capítulo 1|Videojuegos|Juego Clásico|NPC|Non Playable Character|No soples el cartucho|Solo el héroe|Vencer a la bestia|El elegido|Espada del rey|Espada del héroe|Salvar a Ciro|El glitch|Chanchopollo|Nuevo juego|La reliquia|Reliquia del rey|Nadie revive|Heroes Legend|Solo el jugador,2235278,103638,3438,6173,https://i.ytimg.com/vi/yHM2JuYjDN0/default.jpg,False,False,"Mortal Glitch cuenta la historia de una chica que siente que su destino es mucho más de lo que tiene ahora, pero que tiene que luchar contra el status quo con el fin de salvar el mundo. A través de un humor característico, y un relato sorprendente, los creadores de EnchufeTV, toman el viaje del héroe y le dan un toque cómico único.Ningún héroe tuvo una aventura tan grande como la de esta Chanchopollera #EnchufeTV #MortalGlitch #TúPuedesSerElHéroePuedes elegir cómo ver esta nueva serie — puedes ver todos los episodios sin interrupciones y en el momento que tu quieras con YouTube Premium, o puedes ver un episodio a la semana de forma gratuita y con anuncios.Episodio 2: 9 de septiembreEpisodio 3: 16 de septiembreEpisodio 4: 23 de septiembreEpisodio 5: 30 de septiembreConoce más aquí: https://support.google.com/youtube/answer/6358146?hl=es-419"
yHM2JuYjDN0,Mortal Glitch | Ep 1: Solo el héroe puede vencer a la bestia,2020-09-02 21:00:10+00:00,UCoGDh1Xa3kUCpok24JN5DKA,enchufetv,Comedy,2020-09-06 00:00:00+00:00,Mortal Glitch|EnchufeTV|Enchufe.tv|Serie|Serie Enchufe|episodio 1|Capítulo 1|Videojuegos|Juego Clásico|NPC|Non Playable Character|No soples el cartucho|Solo el héroe|Vencer a la bestia|El elegido|Espada del rey|Espada del héroe|Salvar a Ciro|El glitch|Chanchopollo|Nuevo juego|La reliquia|Reliquia del rey|Nadie revive|Heroes Legend|Solo el jugador,22515757,175134,21980,9381,https://i.ytimg.com/vi/yHM2JuYjDN0/default.jpg,False,False,"Mortal Glitch cuenta la historia de una chica que siente que su destino es mucho más de lo que tiene ahora, pero que tiene que luchar contra el status quo con el fin de salvar el mundo. A través de un humor característico, y un relato sorprendente, los creadores de EnchufeTV, toman el viaje del héroe y le dan un toque cómico único.Ningún héroe tuvo una aventura tan grande como la de esta Chanchopollera #EnchufeTV #MortalGlitch #TúPuedesSerElHéroePuedes elegir cómo ver esta nueva serie — puedes ver todos los episodios sin interrupciones y en el momento que tu quieras con YouTube Premium, o puedes ver un episodio a la semana de forma gratuita y con anuncios.Episodio 2: 9 de septiembreEpisodio 3: 16 de septiembreEpisodio 4: 23 de septiembreEpisodio 5: 30 de septiembreConoce más aquí: https://support.google.com/youtube/answer/6358146?hl=es-419"
